time,header,pn,pe,pd,vn,ve,vd,yaw,an,ae,ad
2022/03/16 16:06:14.508073899,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.1673659279182509,-0.1788642124603479,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:16.508257689,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.41921123261091675,0.6590819076814078,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:18.508582401,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.8653135577824758,-0.8008735504223581,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:20.508604608,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.5578686372270896,-0.19931783587984553,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:22.508675915,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.7035707498870889,-0.5365353925596343,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:24.509095510,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.6836374228944315,0.7037259384662535,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:26.508823167,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.20970389031902115,0.7089806380792205,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:28.508609778,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.9685896193624852,0.19822959823213782,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:30.508294823,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.0459636383589721,-0.4172700888288019,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:32.508614834,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.7745533803948101,-0.715867221735796,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:34.508283312,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.5574138923829526,0.6416174696932142,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:36.508440469,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.7299601290886313,-0.6737867502553461,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:38.508484273,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.27974258736369206,0.8771031162420999,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:40.508778298,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.5466469594469527,0.3714098485762314,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:42.508684485,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.9360086310434523,-0.7019186809366684,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:44.508209007,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.14722711211631467,0.19324492115305314,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:46.508272147,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.8705851204613027,-0.5198745421727289,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:48.508777440,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.8877817232631753,0.6478317901705084,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:50.508592059,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.44347931667565255,-0.6665259532049617,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:52.508489526,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.4529069709697684,0.17332802981314394,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:54.508239739,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.3133448342297165,0.04384603521278008,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:56.508405808,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.19702938320131097,0.35917586187987904,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:06:58.508471809,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.1824438941751057,-0.4702008463026792,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:00.508633224,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.4869076500780729,-0.26940704594125786,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:02.508528183,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.45887406269001363,-0.1897557468401795,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:04.508287578,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.7426778427860468,-0.09895162883840958,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:06.508291749,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.9212773834178667,0.16149623049411055,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:08.508676285,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.19863954334260706,-0.31457992392598744,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:10.508203927,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.6024032051204773,0.8767260446848852,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:12.508482930,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.8015410905184102,-0.197974023958082,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:14.508237741,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.6773431006929418,-0.7018799432017595,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:16.508365085,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.4382875615345736,0.6950818202785416,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:18.508785593,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.11083206025196035,-0.7301275802599543,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:20.508600523,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.4170536622061054,-0.4133065093867705,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:22.508379687,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.7408885588038474,0.9635033110161051,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:24.512772943,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.15811893030040802,0.18603235536410856,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:26.508389577,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.9381779611894174,-0.6922821846999485,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:28.508808372,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.8000131396958712,0.558351475378396,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:30.508185759,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.5060329090202758,0.743741144353133,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:32.508390459,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.8627999253744234,-0.4552672989824855,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:34.508518153,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.5756362985052423,-0.24611417718036743,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:36.508211172,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.3784303848805757,-0.6450051884977748,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:38.508502218,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.821684968352228,0.7381689604268451,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:40.508103184,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.9557340973847961,-0.4540327239729687,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:42.508568650,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.4045172572293556,0.4037357358937599,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:44.508916137,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.6885592403246077,-0.6121453620288055,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:46.508541059,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.5783218611165897,0.991048583422786,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:48.508339236,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.36447908631356896,-0.6682065075777837,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:50.508720178,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.8878673762840126,0.17362938391618066,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:52.508100589,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.2713664061884611,0.4017719927553749,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:54.508839481,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.6779140300618809,-0.16501132759142556,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:56.508781029,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.936449803834523,0.12841723494641588,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:07:58.508353045,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.6554469755499237,-0.05202137074870339,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:00.508163918,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.1963436008450456,0.3156046066932998,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:02.508538088,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.042816650443554316,-0.3926972280298149,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:04.508401407,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.5652939175191702,-0.21784436216548797,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:06.508591407,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.8514410861619739,0.7163482765645872,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:08.508193205,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.8754421831228334,-0.7178041185841393,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:10.508410345,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.008245203115888167,0.6575638808374673,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:12.508498921,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.22186097702532326,0.12376312344153284,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:14.508553473,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.7327156534860537,-0.8166620102765287,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:16.508344736,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.5616543043299387,0.04891111103325585,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:18.508614696,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.7970296755889257,-0.00893131929222557,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:20.508450445,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.6733036692922452,0.46789204722755273,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:22.508493924,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.31283084649905146,-0.7612247090851059,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:24.508503344,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.4239292966607022,0.9627413311861626,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:26.508201740,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.3130716048985469,-0.06118446596072724,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:28.508527860,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.8629217812428129,-0.7191772395947484,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:30.508564661,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.9849293873229239,0.7571398396369717,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:32.508592112,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.11591843980489891,-0.9798230884057533,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:34.508645313,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.854863937087031,0.6192162816021889,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:36.508677318,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.48113281539690145,0.36758840592173136,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:38.508415685,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.010695767459744543,0.04100277102200178,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:40.508707446,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.8502294507619745,-0.1732460321377587,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:42.508461360,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.0019235114152271748,-0.92430579165658,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:44.508379666,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.5742487574025579,-0.14960138880346197,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:46.508526647,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.2897365927781217,0.8223972415077438,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:48.508454408,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.17853661037879479,-0.25671321623807364,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:50.508339696,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.807269296723724,0.2054950878708368,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:52.508482574,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.870225436772091,0.4355912029551907,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:54.508091539,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.8888751508582418,-0.27394604493290076,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:56.508613887,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.5395813350811056,0.5246653204871055,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:08:58.508352242,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.38692737754283524,-0.28388223848619876,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:00.508200264,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.836011498897216,-0.12745733465328857,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:02.508418229,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.7944706997739446,-0.7346886661657293,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:04.508604532,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.6144449742804388,-0.15050551506202292,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:06.508361628,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.8209156356197869,-0.3139440480371789,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:08.508517415,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.8753576170680313,-0.16630743931929826,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:10.508592601,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.4701854263861529,0.5632522456292663,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:12.508107212,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.28996053969957436,0.15338108665030692,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:14.508296410,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.6413328617649288,-0.6277074377766454,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:16.508595811,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.8149825956979071,0.6351288462279889,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:18.508577366,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.20787134658268935,0.7285654778964048,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:20.508581304,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.4896904439112648,-0.27459865796101735,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:22.508176879,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.03495136091335094,-0.8518535602397048,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:24.508607056,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.6084227166479586,0.4319577434048809,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:26.508152176,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.19485100122158733,0.8387743993426191,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:28.508348945,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.05589742314126123,-0.11545571558670908,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:30.508360833,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.6105217195882702,-0.006275352576892823,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:32.509246593,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.5420375462168192,0.04102868587273889,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:34.508549036,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.16299565630558344,-0.8607299839371905,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:36.508546617,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.8220804455616602,-0.1941342793845915,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:38.508694838,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.8190745411142253,0.15585695600614047,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:40.508633100,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.953509871842392,0.5336965555935322,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:42.508845739,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.6379986060086349,-0.8871298266959653,0.0,0.0,0.0,0.0,0.0
2022/03/16 16:09:44.508092996,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.24958332081078094,0.7024829138213853,0.0,0.0,0.0,0.0,0.0
