time,header,state_vector,state_valid
2022/03/09 14:08:48.17851034,"{'stamp': {'secs': 1646834928, 'nsecs': 16643583}, 'frame_id': ''}","[-3.6544476221857476, -7.3366392676374526, 0.0, -2.5137340340896146, 3.4241979048653572, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.5837619190431003e-11, 0.008440085]",0
2022/03/09 14:08:48.20448812,"{'stamp': {'secs': 1646834928, 'nsecs': 20229550}, 'frame_id': ''}","[-3.657389257115996, -7.332621725166041, 0.0, -2.323112870730458, 3.1657994966412213, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -3.7307609611126085e-11, 0.003582938]",0
2022/03/09 14:08:48.29854266,"{'stamp': {'secs': 1646834928, 'nsecs': 29426082}, 'frame_id': ''}","[-3.661019609716761, -7.327686993900128, 0.0, -1.750810460306055, 2.3866881365501738, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.4541729795002717e-11, 0.009192225]",0
2022/03/09 14:08:48.40644355,"{'stamp': {'secs': 1646834928, 'nsecs': 40421809}, 'frame_id': ''}","[-3.665768427000771, -7.321268354341937, 0.0, -0.5298917710866851, 0.7227625309373004, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.2160135801557604e-11, 0.010992546]",0
2022/03/09 14:08:48.52301386,"{'stamp': {'secs': 1646834928, 'nsecs': 51924962}, 'frame_id': ''}","[-3.6697049872875716, -7.315981584219641, 0.0, -0.4908922957210804, 0.6676514908880662, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.1623827290947129e-11, 0.011499728]",0
2022/03/09 14:08:48.58996596,"{'stamp': {'secs': 1646834928, 'nsecs': 58585062}, 'frame_id': ''}","[-3.6734736863769246, -7.310920250391649, 0.0, -0.48420014791473515, 0.655488780565069, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -2.0080361820496026e-11, 0.006656795]",0
2022/03/09 14:08:48.59130943,"{'stamp': {'secs': 1646834928, 'nsecs': 58855239}, 'frame_id': ''}","[-3.676039810631233, -7.3074739652977145, 0.0, -1.8337742668250747, 2.464466315544538, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -4.979598645673616e-10, 0.000268437]",0
2022/03/09 14:08:48.73310218,"{'stamp': {'secs': 1646834928, 'nsecs': 73045145}, 'frame_id': ''}","[-3.678179610123192, -7.304674064297692, 0.0, -2.4235105729337554, 3.2544089661037794, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -9.421814428505001e-12, 0.014187379]",0
2022/03/09 14:08:48.84215474,"{'stamp': {'secs': 1646834928, 'nsecs': 83997173}, 'frame_id': ''}","[-3.67936208155181, -7.303192576707449, 0.0, -2.621605761043345, 3.5180190360551165, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.220936736341629e-11, 0.010948221]",0
2022/03/09 14:08:48.94786821,"{'stamp': {'secs': 1646834928, 'nsecs': 94602603}, 'frame_id': ''}","[-3.6813283664767815, -7.300680921715669, 0.0, -2.2935287093168917, 3.0747492546302544, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.2607709032952235e-11, 0.010602311]",0
2022/03/09 14:08:48.105646562,"{'stamp': {'secs': 1646834928, 'nsecs': 104611872}, 'frame_id': ''}","[-3.6840474883372627, -7.297156565766549, 0.0, -1.6096694757356638, 2.1534610232061744, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.3359310098009843e-11, 0.01000582]",0
2022/03/09 14:08:48.109246446,"{'stamp': {'secs': 1646834928, 'nsecs': 108856755}, 'frame_id': ''}","[-3.6868011225221275, -7.293558524665244, 0.0, -0.25326386332269946, 0.3276831832087077, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -3.1519491089703674e-11, 0.004240895]",0
2022/03/09 14:08:48.115982650,"{'stamp': {'secs': 1646834928, 'nsecs': 115734168}, 'frame_id': ''}","[-3.6888439002107645, -7.290878523150454, 0.0, -0.3150209789056485, 0.4090462962375612, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.9445431547755832e-11, 0.006874152]",0
2022/03/09 14:08:48.122384333,"{'stamp': {'secs': 1646834928, 'nsecs': 122204510}, 'frame_id': ''}","[-3.690537053177732, -7.288679160450711, 0.0, -0.3571623095064925, 0.4652489749340989, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -2.067267054881111e-11, 0.006466066]",0
2022/03/09 14:08:48.126142190,"{'stamp': {'secs': 1646834928, 'nsecs': 125852503}, 'frame_id': ''}","[-3.6913429830397604, -7.287666052476295, 0.0, -0.35174999392328754, 0.45742588375081844, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -3.667607012524957e-11, 0.003644634]",0
2022/03/09 14:08:48.137058030,"{'stamp': {'secs': 1646834928, 'nsecs': 136841124}, 'frame_id': ''}","[-3.6917163553931576, -7.287292699672117, 0.0, -0.28513523708553007, 0.3683708284560872, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.2168074766036082e-11, 0.010985374]",0
2022/03/09 14:08:48.148003287,"{'stamp': {'secs': 1646834928, 'nsecs': 147745658}, 'frame_id': ''}","[-3.692137795372513, -7.28687128175873, 0.0, -0.17238408212515058, 0.2181553606441262, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.2262069228637454e-11, 0.010901166]",0
2022/03/09 14:08:48.160790395,"{'stamp': {'secs': 1646834928, 'nsecs': 160561792}, 'frame_id': ''}","[-3.6931641016666874, -7.2856185325828715, 0.0, -0.11848439268432459, 0.14577378039998107, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.0433215876032054e-11, 0.012812047]",0
2022/03/09 14:08:48.168806421,"{'stamp': {'secs': 1646834928, 'nsecs': 168475848}, 'frame_id': ''}","[-3.695119733379503, -7.283109607356209, 0.0, -0.10678715727333928, 0.13013552253994068, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.6898380304918416e-11, 0.007910276]",0
